Sample,subvolume_name,Bone_volume,Mean,Std,calculated_rho
26_LE,voi_2,493344000,0.097654618,0.008051286,1.884129195
26_LE,voi_3,512000000,0.100368768,0.004463259,1.912085333
26_LE,voi_4,507304000,0.09700837,0.008949554,1.877472741
26_LE,voi_5,503520000,0.097308114,0.008754491,1.880560151
26_LE,voi_6,506568000,0.100599818,0.008544262,1.914465182
38_LE,voi_1,512000000,0.10440538,0.003793723,1.899811167
38_LE,voi_2,512000000,0.100416124,0.003468672,1.86121959
38_LE,voi_3,511760000,0.097673684,0.004900902,1.834689565
38_LE,voi_4,511864000,0.096458063,0.00473776,1.822929788
38_LE,voi_5,512000000,0.096285619,0.004600319,1.821261589
38_LE,voi_6,512000000,0.101633988,0.004463337,1.873001062
42_LE,voi_1,512000000,0.10142636,0.004257596,1.864925633
42_LE,voi_2,507160000,0.096078485,0.010250607,1.813221317
42_LE,voi_3,512000000,0.096151628,0.006190828,1.813928472
42_LE,voi_4,512000000,0.095395163,0.006261874,1.806614819
42_LE,voi_5,505904000,0.095221065,0.006779227,1.804931608
42_LE,voi_6,512000000,0.098445818,0.004840687,1.836109159
46_LE,voi_1,509064000,0.09725719,0.005713839,1.880035625
46_LE,voi_2,505856000,0.09472809,0.007600429,1.853985523
46_LE,voi_3,510920000,0.095918618,0.006239261,1.866248139
46_LE,voi_4,511848000,0.0971772,0.006266161,1.879211716
46_LE,voi_5,512000000,0.098044783,0.005119269,1.888147947
46_LE,voi_6,511784000,0.096903399,0.007110735,1.876391522
1_LE,voi_1,405840000,0.096615136,0.009422154,1.862497646
1_LE,voi_2,493040000,0.098493308,0.007570253,1.881726952
1_LE,voi_3,506288000,0.098123021,0.007030857,1.877935845
1_LE,voi_4,503728000,0.098302394,0.006296075,1.879772319
1_LE,voi_5,511160000,0.101206563,0.005809257,1.909506106
1_LE,voi_6,501328000,0.102158226,0.007698248,1.919249524
5_LE,voi_1,481960000,0.07367177,0.004225599,1.628796435
5_LE,voi_2,499168000,0.075888142,0.005111605,1.651397466
5_LE,voi_3,424856000,0.074825525,0.005664048,1.640561635
5_LE,voi_4,414160000,0.07223063,0.004069071,1.614100681
5_LE,voi_5,443680000,0.073496938,0.004652628,1.627013616
5_LE,voi_6,433976000,0.072013214,0.004101503,1.611883629
17_LE,voi_1,510648000,0.084074326,0.011696439,1.743212468
17_LE,voi_2,491264000,0.081032373,0.011314358,1.711781103
17_LE,voi_3,489224000,0.075152293,0.005338059,1.651024428
17_LE,voi_4,496568000,0.075826474,0.005094149,1.657990486
17_LE,voi_5,509200000,0.08405105,0.008624388,1.742971969
17_LE,voi_6,451744000,0.078960948,0.011399127,1.690377838
21_LE,voi_1,512000000,0.101800896,0.007450508,1.926374503
21_LE,voi_2,510104000,0.094666295,0.008945424,1.85265533
21_LE,voi_3,510416000,0.095278628,0.007666839,1.858982342
21_LE,voi_4,507824000,0.088826656,0.013168638,1.792316525
21_LE,voi_5,511992000,0.095477536,0.008439982,1.861037586
21_LE,voi_6,511112000,0.092014097,0.010878054,1.825251156
24_LE,voi_1,512000000,0.1003516,0.004509925,1.918265977
24_LE,voi_2,509832000,0.099123567,0.005722566,1.905560235
24_LE,voi_3,512000000,0.097251423,0.004784391,1.88619024
24_LE,voi_4,509992000,0.095213927,0.00828153,1.865109456
24_LE,voi_5,512000000,0.099184111,0.004155811,1.906186643
24_LE,voi_6,512000000,0.098353431,0.006460815,1.897592077
25_LE,voi_1,511904000,0.09683094,0.005740218,1.882604873
25_LE,voi_2,492192000,0.095350809,0.009262626,1.86719682
