Sample,subvolume_name,Mean,Std,calculated_rho
1_LE,voi_5,0.101146683,0.005990145,1.908893032
1_LE,voi_6,0.101262636,0.009817876,1.910080199
5_LE,voi_1,0.07291801,0.00515412,1.621110111
5_LE,voi_2,0.075545028,0.005491133,1.647898625
5_LE,voi_3,0.071968757,0.008451087,1.61143028
5_LE,voi_4,0.069791816,0.006469557,1.589231345
5_LE,voi_5,0.071657382,0.0065415,1.608255097
5_LE,voi_6,0.07032875,0.005584835,1.594706623
17_LE,voi_1,0.08401298,0.011741791,1.742578603
17_LE,voi_2,0.080145746,0.011904983,1.702619922
17_LE,voi_3,0.074312158,0.006681556,1.642343628
17_LE,voi_4,0.075016506,0.007102534,1.649621394
17_LE,voi_5,0.083905816,0.008824768,1.741471318
17_LE,voi_6,0.076142758,0.013420207,1.661258537
21_LE,voi_1,0.101800896,0.007450508,1.926374503
21_LE,voi_2,0.094530024,0.009206541,1.851247291
21_LE,voi_3,0.095140226,0.008057625,1.857552286
21_LE,voi_4,0.088592149,0.013368207,1.789893451
21_LE,voi_5,0.095477,0.008441022,1.861032043
21_LE,voi_6,0.091959037,0.010948776,1.824682244
24_LE,voi_1,0.1003516,0.004509925,1.918265977
24_LE,voi_2,0.098865002,0.006969621,1.902885013
24_LE,voi_3,0.097251423,0.004784391,1.88619024
24_LE,voi_4,0.095033079,0.008755229,1.863238327
24_LE,voi_5,0.099184111,0.004155811,1.906186643
24_LE,voi_6,0.098353431,0.006460815,1.897592077
25_LE,voi_1,0.096824214,0.00576065,1.882534856
25_LE,voi_2,0.093651623,0.012520372,1.849508407
25_LE,voi_3,0.094076663,0.01140377,1.85393305
25_LE,voi_4,0.094420172,0.010562777,1.857508954
25_LE,voi_5,0.098198526,0.005327936,1.89684134
25_LE,voi_6,0.097388409,0.007760367,1.888408086
37_LE,voi_1,0.10350538,0.003441029,1.935781957
37_LE,voi_2,0.099277191,0.004104229,1.892605473
37_LE,voi_3,0.09867432,0.003409109,1.886449207
37_LE,voi_4,0.096898653,0.004269405,1.868316843
37_LE,voi_5,0.096726857,0.005846218,1.86656254
37_LE,voi_6,0.098425768,0.003774608,1.883911105
40_LE,voi_1,0.10050901,0.003620593,1.91813079
40_LE,voi_2,0.09733694,0.001512201,0.891044372
40_LE,voi_3,0.095751874,0.003494823,1.869084435
