sample,sample_group,subvolume_name,mean_gvs,std_gvs,calculated_rho,uncertainty_rho,calculation_method_rho,sample_alias
26,FRESH,voi_5,0.096505426,0.010674737,1.872292345402635,0.0264746269105544,LF_wot,FRESH_1
26,FRESH,voi_6,0.100057818,0.009991778,1.908882503118594,0.0270680661101436,LF_wot,FRESH_1
38,MGB,voi_1,0.10440538,0.003793723,1.899811167194059,0.0296366111149992,LF_wot,MGB_0
38,MGB,voi_2,0.100416124,0.003468672,1.861219591553116,0.0289580594216352,LF_wot,MGB_0
38,MGB,voi_3,0.097655393,0.004972176,1.834512616816274,0.0285130897798822,LF_wot,MGB_0
38,MGB,voi_4,0.096448168,0.004775844,1.822834069512432,0.0283251289971278,LF_wot,MGB_0
38,MGB,voi_5,0.096285619,0.004600319,1.8212615903261224,0.0283001353399634,LF_wot,MGB_0
38,MGB,voi_6,0.101633988,0.004463337,1.8730010592444304,0.0291608544544581,LF_wot,MGB_0
42,MGB,voi_1,0.10142636,0.004257596,1.8649256326237695,0.0309377046174132,LF_wot,MGB_1
42,MGB,voi_2,0.095588058,0.011374594,1.80847976894775,0.0299551726424847,LF_wot,MGB_1
42,MGB,voi_3,0.096151628,0.006190828,1.8139284756765035,0.0300455646873876,LF_wot,MGB_1
42,MGB,voi_4,0.095395163,0.006261874,1.806614821763828,0.0299244595951373,LF_wot,MGB_1
42,MGB,voi_5,0.094480731,0.009582726,1.797773911510643,0.0297804427524579,LF_wot,MGB_1
42,MGB,voi_6,0.098445818,0.004840687,1.8361091604007416,0.0304235121227818,LF_wot,MGB_1
46,MBC,voi_1,0.096977696,0.006802217,1.877156795549048,0.026551615662208,LF_wot,MBC_2
46,MBC,voi_2,0.094220132,0.008874439,1.8487534826061487,0.0261106388257872,LF_wot,MBC_2
46,MBC,voi_3,0.095838532,0.006472257,1.8654232395607608,0.0263669322519282,LF_wot,MBC_2
46,MBC,voi_4,0.097166032,0.006298734,1.8790966839238648,0.0265824838324928,LF_wot,MBC_2
46,MBC,voi_5,0.098044783,0.005119269,1.8881479478843333,0.0267277493160462,LF_wot,MBC_2
46,MBC,voi_6,0.096887186,0.007152956,1.8762245292972175,0.0265368146990925,LF_wot,MBC_2
1,MBC,voi_1,0.084189,0.026905471,1.7352750063308315,0.0358621620244357,LF_wot,MBC_3
1,MBC,voi_2,0.096682079,0.012190723,1.8631830291394595,0.0384317881210618,LF_wot,MBC_3
1,MBC,voi_3,0.09772975,0.007921585,1.8739094102152487,0.0386771614943408,LF_wot,MBC_3
1,MBC,voi_4,0.097694993,0.007869175,1.8735535572546809,0.0386689526737427,LF_wot,MBC_3
1,MBC,voi_5,0.101146683,0.005990145,1.908893031474632,0.0395064734505752,LF_wot,MBC_3
1,MBC,voi_6,0.101262636,0.009817876,1.9100801943004435,0.0395353738968053,LF_wot,MBC_3
5,MBC,voi_1,0.07291801,0.00515412,1.621110110941703,0.0215141298813952,LF_wot,MBC_4
5,MBC,voi_2,0.075545028,0.005491133,1.6478986263318376,0.0217218624340962,LF_wot,MBC_4
5,MBC,voi_3,0.071968757,0.008451087,1.6114302843856492,0.0214449460254562,LF_wot,MBC_4
5,MBC,voi_4,0.069791816,0.006469557,1.589231343426008,0.0212983036563796,LF_wot,MBC_4
5,MBC,voi_5,0.071657382,0.0065415,1.6082550971659182,0.0214229412371822,LF_wot,MBC_4
5,MBC,voi_6,0.07032875,0.005584835,1.594706625560537,0.0213329043950725,LF_wot,MBC_4
17,MGA,voi_1,0.08401298,0.011741791,1.7425786028932082,0.0438852595671401,LF_wot,MGA_2
17,MGA,voi_2,0.080145746,0.011904983,1.702619916745599,0.043070250809291,LF_wot,MGA_2
17,MGA,voi_3,0.074312158,0.006681556,1.6423436283165938,0.042020612693765,LF_wot,MGA_2
17,MGA,voi_4,0.075016506,0.007102534,1.6496213934248587,0.0421354105300297,LF_wot,MGA_2
17,MGA,voi_5,0.083905816,0.008824768,1.7414713172615857,0.0438614513637465,LF_wot,MGA_2
17,MGA,voi_6,0.076142758,0.013420207,1.661258535162627,0.0423258959271739,LF_wot,MGA_2
21,MGA,voi_1,0.101800896,0.007450508,1.926374502666543,0.0486992727787145,LF_wot,MGA_3
21,MGA,voi_2,0.094530024,0.009206541,1.85124729488252,0.0465367441150772,LF_wot,MGA_3
21,MGA,voi_3,0.095140226,0.008057625,1.857552284496452,0.0467085591965816,LF_wot,MGA_3
21,MGA,voi_4,0.088592149,0.013368207,1.7898934477895505,0.0449650304414877,LF_wot,MGA_3
21,MGA,voi_5,0.095477,0.008441022,1.8610320445959636,0.0468041737742086,LF_wot,MGA_3
21,MGA,voi_6,0.091959037,0.010948776,1.824682245386528,0.0458334924422767,LF_wot,MGA_3
